drug,event,classification,explanation,reviewer,date
dabigatran etexilate mesylate,Cardiac tamponade,known_published,"Anticoagulants cause bleeding including hemopericardium. Multiple published case reports (PMID:22786838, 26798391, 29259514). Well-known class risk despite being absent from the specific labeled AE list; not a novel finding.",claude-audit,2026-04-21
chloraprep with tint,Product contamination physical,med_error,"Not a pharmacologic AE. FDA Class I recalls of BD ChloraPrep for microbial/fungal contamination 2020-2025 drove the reporting volume.",claude-audit,2026-04-21
chloraprep with tint,Product contamination,duplicate,"Same as 'Product contamination physical' at the MedDRA HLT level; double-counted.",claude-audit,2026-04-21
azithromycin,Deafness bilateral,known_class,"Macrolide ototoxicity is labeled since 1994. Reversible or irreversible sensorineural hearing loss documented across macrolides (PMID:10778901). Systematic review in Sci Rep 2023.",claude-audit,2026-04-21
desmopressin acetate,Labelled drug-disease interaction medication error,med_error,"The MedDRA PT 'Labelled drug-disease interaction medication error' is itself a medication-error term, not a drug-caused adverse event.",claude-audit,2026-04-21
alkindi sprinkle,Adrenocortical insufficiency acute,indication,"Alkindi is hydrocortisone replacement therapy FOR primary adrenal insufficiency in pediatric patients. Reports reflect missed or inadequate dosing in the treated disease — the 'event' IS the indication.",claude-audit,2026-04-21
tioconazole,Vulvovaginal swelling,known_labeled,"Monistat-1 (tioconazole) PI lists vulvar edema and vulvovaginal irritation at <1-6% incidence. Labeled local reaction of vaginal antifungal.",claude-audit,2026-04-21
tamoxifen,Maculopathy,known_labeled,"Tamoxifen retinopathy/maculopathy with crystalline deposits is classic and in the ocular-effects section of the current label. Review PMID:37482306.",claude-audit,2026-04-21
chlorhexidine gluconate,Tooth discolouration,known_labeled,"Extrinsic brown tooth staining is the universally labeled side effect of chlorhexidine mouthrinse (Peridex PI) and documented in countless clinical trials.",claude-audit,2026-04-21
flecainide,Electrocardiogram QRS complex prolonged,mechanism,"Class IC sodium-channel blockade mechanistically prolongs the QRS. This is the labeled dose-titration endpoint (reduce dose if QRS widens >25%), not an adverse signal.",claude-audit,2026-04-21
blincyto,Acute lymphocytic leukaemia recurrent,indication,"Blincyto (blinatumomab) is indicated for relapsed or refractory B-cell precursor ALL. The 'event' IS the treated disease relapsing — disease-progression reports, not drug causation.",claude-audit,2026-04-21
bupropion,Product substitution issue,med_error,"Historical FDA-documented Teva Budeprion XL 300 mg bioequivalence problem (2012). MedDRA 'Product substitution issue' is itself a medication-error term.",claude-audit,2026-04-21
lexiscan,Injection site extravasation,procedural,"Regadenoson is a rapid IV push for pharmacologic stress testing. Extravasation is a generic peripheral-IV administration complication, not a regadenoson pharmacology signal.",claude-audit,2026-04-21
albuterol,Product cleaning inadequate,med_error,"Device-hygiene complaint. Linked to Perrigo albuterol HFA clogging recalls; a reporting/device artifact, not pharmacology.",claude-audit,2026-04-21
potassium citrate,Product residue present,mechanism,"Urocit-K is a wax-matrix extended-release tablet; 'ghost tablet' excretion in stool is expected and documented in the PI. Not a safety signal.",claude-audit,2026-04-21
